@type	@id	name
relation	10364167	Savannah
relation	10364168	Jesup
relation	10364299	Lynchburg
relation	10364300	Danville
relation	10364301	Spartanburg
relation	10364302	Greenville
relation	10364303	Clemson
relation	10364304	Toccoa
relation	10364305	Gainesville
relation	10364306	Anniston
relation	10364307	Birmingham
relation	10364308	Tuscaloosa
relation	10364309	Laurel
relation	10364310	Picayune
relation	10364311	Slidell
relation	10367105	Southern Pines
relation	10367106	Camden
relation	10367107	Columbia
relation	10367108	Denmark
relation	10367109	Yemassee
relation	10367110	Charleston
relation	10367111	Kingstree
relation	10367112	Dillon
relation	10367113	Fayetteville
relation	10367166	Gainesville
relation	10367167	Ardmore
relation	10367168	Pauls Valley
relation	10367169	Purcell
relation	10367170	Norman
relation	10367171	Oklahoma City
relation	10367301	Kirkwood
relation	10367302	Hermann
relation	10367303	Sedalia
relation	10367304	Warrensburg
relation	10367305	Lee's Summit
relation	10367591	Miami
relation	10367592	Macomb
relation	10367913	Milwaukee Airport
relation	10367914	Sturtevant
relation	10367916	Dwight
relation	10367917	Pontiac
relation	10367918	Lincoln
relation	10367919	Springfield
relation	10368082	Saint Joseph
relation	10368083	Bangor
relation	10368084	Holland
relation	10368085	Grand Rapids
relation	10368086	Pontiac
relation	10368087	Troy
relation	10368088	Royal Oak
relation	10368089	Detroit
relation	10368090	Dearborn
relation	10368091	Port Huron
relation	10368092	Lapeer
relation	10368093	Flint
relation	10368094	Durand
relation	10368095	Battle Creek
relation	10368096	Dowagiac
relation	10368097	Niles
relation	10368098	New Buffalo
relation	10368099	Michigan City
relation	10368631	Richmond Staples Mill Road
relation	10368632	Richmond Main Street
relation	10368633	Petersburg
relation	10368634	Williamsburg
relation	10368635	Norfolk
relation	10368636	Roanoke
relation	10368638	Culpeper
relation	10368639	Staunton
relation	10368640	Clifton Forge
relation	10368641	White Sulphur Springs
relation	10368642	Hinton
relation	10368643	Montgomery
relation	10368644	Charleston
relation	10368645	Huntington
relation	10368646	South Shore-South Portsmouth
relation	10368647	Maysville
relation	10368648	Connersville
relation	10368649	Crawfordsville
relation	10368650	Rensselaer
relation	10368651	Dyer
relation	10368757	Syracuse
relation	10368758	Rome
relation	10368759	Utica
relation	10368760	Amsterdam
relation	10368761	Buffalo-Depew
relation	10368762	Erie
relation	10368763	Elyria
relation	10368764	Bryan
relation	10368765	Waterloo
relation	10369122	Cumberland
relation	10369123	Connellsville
relation	10369124	Alliance
relation	10369178	Coatesville
relation	10369179	Parkesburg
relation	10369180	Lancaster
relation	10369181	Mount Joy
relation	10369182	Elizabethtown
relation	10369183	Middletown
relation	10369184	Harrisburg
relation	10369185	Huntingdon
relation	10369186	Tyrone
relation	10369187	Latrobe
relation	10369188	Greensburg
relation	10369249	Mystic
relation	10369250	Westerly
relation	10369252	Exeter
relation	10369253	Durham-UNH
relation	10369254	Saco
relation	10369255	Old Orchard Beach
relation	10369256	Portland
relation	10369257	Freeport
relation	10372202	Essex Junction
relation	10372203	Waterbury
relation	10372204	Montpelier
relation	10372205	Randolph
relation	10372206	White River Junction
relation	10372207	Windsor
